	Tech	Fuel Type	Capex	Size	FOM	VOM	Construction_time	Life	Efficiency	Aux	EIF	REC_Eligible	Tuos_Liable	Duos_Liable	Fuel_Transport	CF	CAPEX_Main	Consallocation1	Consallocation2	Consallocation3	Consallocation4	Consallocation5	Con_Subsidy	Trans	Dist
1	OCGT	1	813.22926	160	1.44	2.5	1	30	0.3288	0.99017	51.3	0	1	1	0	0.45	0.0015	1	0	0	0	0	0	1	1
2	Black Coal	2	2706.384898	750	24.75	4.6	4	40	0.406	0.9	91.1	0	1	1	0	0.85	0.002	0.3	0.7	0.9	1	0	0	1	1
